User ID,Unit ID,Question ID,Total unique questions seen,Total correct,Percent correct
1,1,1,14,5,0.357142857
1,1,3,93,14,0.150537634
1,1,5,118,80,0.677966102
1,1,7,145,57,0.393103448
1,2,2,15,11,0.733333333
1,2,4,104,23,0.221153846
1,2,6,138,45,0.326086957
1,2,8,148,57,0.385135135
1,3,1,4,3,0.75
1,3,2,34,29,0.852941176
1,3,3,121,20,0.165289256
1,3,4,39,5,0.128205128
1,3,5,91,63,0.692307692
1,3,6,44,44,1
2,1,1,67,27,0.402985075
2,1,3,131,8,0.061068702
2,1,5,21,21,1
2,1,7,39,16,0.41025641
2,2,2,10,9,0.9
2,2,4,19,19,1
2,2,6,80,53,0.6625
2,2,8,44,2,0.045454545
2,3,1,62,49,0.790322581
2,3,2,87,28,0.32183908
2,3,3,63,24,0.380952381
2,3,4,104,31,0.298076923
2,3,5,120,16,0.133333333
2,3,6,138,81,0.586956522
3,1,1,71,46,0.647887324
3,1,3,96,13,0.135416667
3,1,5,111,58,0.522522523
3,1,7,49,8,0.163265306
3,2,2,107,78,0.728971963
3,2,4,27,26,0.962962963
3,2,6,145,92,0.634482759
3,2,8,137,85,0.620437956
3,3,1,121,8,0.066115702
3,3,2,136,101,0.742647059
3,3,3,94,60,0.638297872
3,3,4,26,8,0.307692308
3,3,5,61,3,0.049180328
3,3,6,141,141,1
4,1,1,147,12,0.081632653
4,1,3,133,56,0.421052632
4,1,5,99,7,0.070707071
4,1,7,68,62,0.911764706
4,2,2,65,27,0.415384615
4,2,4,115,55,0.47826087
4,2,6,149,17,0.11409396
4,2,8,75,25,0.333333333
4,3,1,16,11,0.6875
4,3,2,105,89,0.847619048
4,3,3,93,47,0.505376344
4,3,4,141,89,0.631205674
4,3,5,99,20,0.202020202
4,3,6,146,2,0.01369863
5,1,1,140,126,0.9
5,1,3,74,7,0.094594595
5,1,5,20,8,0.4
5,1,7,140,73,0.521428571
5,2,2,52,49,0.942307692
5,2,4,60,48,0.8
5,2,6,25,14,0.56
5,2,8,48,40,0.833333333
5,3,1,127,12,0.094488189
5,3,2,36,20,0.555555556
5,3,3,103,20,0.194174757
5,3,4,99,79,0.797979798
5,3,5,92,55,0.597826087
5,3,6,64,22,0.34375
6,1,1,133,124,0.932330827
6,1,3,62,10,0.161290323
6,1,5,88,18,0.204545455
6,1,7,14,4,0.285714286
6,2,2,58,41,0.706896552
6,2,4,68,54,0.794117647
6,2,6,108,10,0.092592593
6,2,8,67,49,0.731343284
6,3,1,39,1,0.025641026
6,3,2,123,111,0.902439024
6,3,3,47,16,0.340425532
6,3,4,75,44,0.586666667
6,3,5,54,11,0.203703704
6,3,6,49,8,0.163265306
7,1,1,97,11,0.113402062
7,1,3,71,1,0.014084507
7,1,5,121,79,0.652892562
7,1,7,0,0,#DIV/0!
7,2,2,65,0,0
7,2,4,46,13,0.282608696
7,2,6,34,32,0.941176471
7,2,8,67,63,0.940298507
7,3,1,25,24,0.96
7,3,2,103,44,0.427184466
7,3,3,117,69,0.58974359
7,3,4,45,37,0.822222222
7,3,5,28,22,0.785714286
7,3,6,87,66,0.75862069
8,1,1,121,46,0.380165289
8,1,3,101,32,0.316831683
8,1,5,138,52,0.376811594
8,1,7,113,24,0.212389381
8,2,2,37,23,0.621621622
8,2,4,63,34,0.53968254
8,2,6,79,8,0.101265823
8,2,8,13,8,0.615384615
8,3,1,94,92,0.978723404
8,3,2,117,52,0.444444444
8,3,3,30,11,0.366666667
8,3,4,5,2,0.4
8,3,5,129,117,0.906976744
8,3,6,18,6,0.333333333
9,1,1,107,14,0.130841121
9,1,3,62,31,0.5
9,1,5,144,20,0.138888889
9,1,7,7,6,0.857142857
9,2,2,116,7,0.060344828
9,2,4,139,91,0.654676259
9,2,6,51,8,0.156862745
9,2,8,58,23,0.396551724
9,3,1,61,39,0.639344262
9,3,2,123,82,0.666666667
9,3,3,134,86,0.641791045
9,3,4,101,94,0.930693069
9,3,5,135,33,0.244444444
9,3,6,16,8,0.5
10,1,1,2,0,0
10,1,3,4,3,0.75
10,1,5,119,103,0.865546218
10,1,7,104,70,0.673076923
10,2,2,12,0,0
10,2,4,147,140,0.952380952
10,2,6,126,66,0.523809524
10,2,8,3,1,0.333333333
10,3,1,48,15,0.3125
10,3,2,111,4,0.036036036
10,3,3,87,55,0.632183908
10,3,4,133,107,0.804511278
10,3,5,20,6,0.3
10,3,6,20,20,1
11,1,1,44,31,0.704545455
11,1,3,34,33,0.970588235
11,1,5,63,30,0.476190476
11,1,7,105,22,0.20952381
11,2,2,143,121,0.846153846
11,2,4,90,20,0.222222222
11,2,6,90,77,0.855555556
11,2,8,58,16,0.275862069
11,3,1,105,1,0.00952381
11,3,2,130,112,0.861538462
11,3,3,101,65,0.643564356
11,3,4,139,116,0.834532374
11,3,5,72,24,0.333333333
11,3,6,143,67,0.468531469
12,1,1,16,8,0.5
12,1,3,48,46,0.958333333
12,1,5,102,91,0.892156863
12,1,7,106,27,0.254716981
12,2,2,10,5,0.5
12,2,4,83,17,0.204819277
12,2,6,76,49,0.644736842
12,2,8,77,59,0.766233766
12,3,1,124,28,0.225806452
12,3,2,71,4,0.056338028
12,3,3,80,52,0.65
12,3,4,54,9,0.166666667
12,3,5,62,30,0.483870968
12,3,6,40,36,0.9
